log ID,log date,log title,field name,experiment ID,owner,category,revision date,equipment,rate,volume,area,time,length,count,weight,None type,material
6a9838ee-6847-4e00-82b0-054785e22d4b,2020-05-26T23:00:00+00:00,Grass Plots 1st Cut 2020,RRES LSRE Site 2020,,"Chris Mackay, Rob Copley, Ben Flannery",Harvesting,2022-06-30T07:32:54+00:00,"Tym T503, Wilder Grass Box",,,,,,32 strips cut,,,
75cd5b0c-746a-4ba5-ac75-2cd62f44c582,2020-05-27T23:00:00+00:00,Grass Plots 1st Cut 2020,RRES LSRE Site 2020,,"Chris Mackay, Rob Copley, Ben Flannery",Harvesting,2022-06-30T07:32:54+00:00,"Tym T503, Wilder Grass Box",,,,,,32 strips cut,,,
bd130cbf-6060-4ac3-8992-a42a5995b743,2020-06-22T23:00:00+00:00,Park Grass 1st Cut 2020,,2020/R/PG/5,"Chris Mackay, Christoph Russell, Tim Hall, Ben Flannery",Harvesting,2022-06-30T07:32:54+00:00,"Wilder Grass Box, MF3070",,,,,,,,,
4aec71f0-81cd-491d-a20f-7f4e2c8b53d3,2020-06-21T23:00:00+00:00,Park Grass 1st Cut 2020,,2020/R/PG/5,"Chris Mackay, Christoph Russell, Rob Copley, Tim Hall, Ben Flannery",Harvesting,2022-06-30T07:32:54+00:00,"MF3070, Wilder Grass Box",,,,,,,,,
33224871-ad98-43b5-b423-69ff5b268079,2020-06-25T23:00:00+00:00,Grass Plots 1st Cut 2020,,2020/R/CS/767,"Chris Mackay, Christoph Russell, Ben Flannery",Harvesting,2022-06-30T07:32:54+00:00,"Tym T503, Wilder Grass Box",,,,,,11 plots,,,
94815282-97af-4c64-856b-329ffb0a29aa,2020-06-29T23:00:00+00:00,Grass Plots 1st Cut 2020,,2020/W/RN/12,"Christoph Russell, Rob Copley, Ben Flannery",Harvesting,2022-06-30T07:32:54+00:00,"JD6620, Wilder Grass Box",,,,,,4 plots,,,
2b0666de-a392-4e5f-8500-75f45e8215fa,2020-06-29T23:00:00+00:00,Grass Plots 1st Cut 2020,,2020/W/RN/3,"Christoph Russell, Rob Copley, Ben Flannery",Harvesting,2022-06-30T07:32:54+00:00,"JD6620, Wilder Grass Box",,,,,,24 plots,,,
45b24f97-94c3-4570-81af-86d79221bf9f,2020-07-22T23:00:00+00:00,Grass Plots 2nd Cut 2020,RRES LSRE Site 2020,,"Chris Mackay, Christoph Russell, Aislinn Pearson, Tim Hall, Ben Flannery",Harvesting,2022-06-30T07:32:54+00:00,"Tym T503, Wilder Grass Box",,,,,,16 cuts,,,
cb00ef4b-dfe6-4bd9-844f-3e8f11f404b0,2020-07-30T23:00:00+00:00,OSR plots ,RRES LSRE Site 2020,,"Martin Gardner, Christoph Russell",Harvesting,2022-06-30T07:32:54+00:00,Haldrup C-85 2m cut,,,,,,20 samples,,,
2111fb12-0899-4285-b222-473022eadcd5,2020-08-11T23:00:00+00:00,Commercial Crop,"BYLANDS, MEADOW",,Rob Copley,"Commercial, Harvesting",2022-06-30T07:32:54+00:00,Claas Tucano 430,,,,,,,29580 kg,,
