log ID,log date,log title,field name,experiment ID,owner,category,revision date,equipment,rate,volume,area,time,length,count,weight,None type,material
01ca14c9-b76d-4365-9598-f3a36dd7403f,2019-09-01T23:00:00+00:00,"Spraying: X-Clude, Fusilade Max (11519), Hallmark with Zeon Technology (12629) in GREAT FIELD 1/2",,2020/R/RAW/2037,Richard Ostler,Pesticide Application,2022-03-21T21:56:03+00:00,"NH T6030, Knight 24m Sprayer","0.250 l/ha, 0.650 l/ha, 75.000 millilitres per hectare (ml/ha)",100.0 liters (l),6.6 hectares (ha),,,,,,"X-Clude, X-Clude, X-Clude"
eeffd6eb-b94d-4bdb-b9df-c8e920797947,2019-08-28T23:00:00+00:00,Input 08/29/2019 - 00:00 Nitram WHITEHORSE 1,WHITEHORSE 1,,Chris Mackay,"Commercial, Fertiliser Application",2022-06-07T16:21:50+00:00,Cascade Spreader,87 kg/ha,,,,,,,,Nitram
7577cec2-7a92-49cf-9689-f47511429596,2019-09-01T23:00:46+00:00,"Input  X-Clude, Fusilade Max (11519), Hallmark with Zeon Technology (12629) WHITEHORSE 1",WHITEHORSE 1,,Chris Mackay,"Commercial, Pesticide Application",2022-06-07T16:21:50+00:00,,"0.25 l/ha, 0.65 l/ha, 75 millilitres per hectare (ml/ha)",,,,,,,,"X-Clude, X-Clude, X-Clude"
275d6879-2445-44a3-b328-1262adb06d15,2019-08-12T23:00:00+00:00,Spraying: slug pellets in GREAT FIELD 1/2,GREAT FIELD 1/2,,Chris Mackay,Pesticide Application,2022-06-07T16:21:50+00:00,Lehner slug pelleter,5 kg/ha,,,0 hours (h),,,,,Slug Pellets
f7a94a5a-c277-4691-91aa-e9f40b37fdb7,2019-08-14T23:00:00+00:00,Applied slug pellets: LONG HOOS 5 Commercial,LONG HOOS 5,,Chris Mackay,Pesticide Application,2022-06-07T16:21:50+00:00,"Lehner slug pelleter, Kawasaki  Mule 610",5 kg/ha,,,,,,,,Ironmax pro (17122)
cf0c3760-9380-443d-a633-16af882fee44,2019-08-14T23:00:00+00:00,Applied slug pellets: LONG HOOS 6/7 Commercial,LONG HOOS 6/7,,Chris Mackay,Pesticide Application,2022-06-07T16:21:50+00:00,"Lehner slug pelleter, Kawasaki  Mule 610",5 kg/ha,,,,,,,,Ironmax pro (17122)
126b5894-3bcd-4f4f-a487-1f87270ae33a,2019-08-14T23:00:00+00:00,Applied slug pellets: GREAT FIELD 1/2 Commercial,GREAT FIELD 1/2,,Chris Mackay,Pesticide Application,2022-06-07T16:21:50+00:00,"Lehner slug pelleter, Kawasaki  Mule 610",5 kg/ha,,,,,,,,Ironmax pro (17122)
0d01d0b9-800d-4449-a61b-108d15b1ed51,2019-08-14T23:00:00+00:00,Applied slug pellets: GREAT HARPENDEN 2 Commercial,GREAT HARPENDEN 2,,Chris Mackay,Pesticide Application,2022-06-07T16:21:50+00:00,"Lehner slug pelleter, Kawasaki  Mule 610",5 kg/ha,,,,,,,,Ironmax pro (17122)
e6b1be39-cfc7-4f61-8eb8-b2ac20f850be,2019-08-14T23:00:00+00:00,Applied slug pellets: WHITEHORSE 1 Commercial,WHITEHORSE 1,,Chris Mackay,Pesticide Application,2022-06-07T16:21:50+00:00,"Lehner slug pelleter, Kawasaki  Mule 610",5 kg/ha,,,,,,,,Ironmax pro (17122)
441e9f47-8313-4c91-b1dc-600bee4cbc2b,2019-08-20T23:00:00+00:00,Applied slug pellets: WHITEHORSE 1 Commercial,WHITEHORSE 1,,Chris Mackay,Pesticide Application,2022-06-07T16:21:50+00:00,"Lehner slug pelleter, Kawasaki  Mule 610",5 kg/ha,,,,,,,,Ironmax pro (17122)
