log ID,log date,log title,field name,experiment ID,owner,category,revision date,equipment,rate,volume,area,time,length,count,weight,None type,material
49cae1da-cf17-4de0-a340-f50a9f257889,2019-09-25T11:31:43+00:00,expt 2020/R/RAW/2027 located in WHITEHORSE 2,WHITEHORSE 2,,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
5b8710a5-a27e-4260-a402-d823d323e045,2019-09-25T11:32:19+00:00,expt 2020/R/RAW/2025  located in WHITEHORSE 2,WHITEHORSE 2,,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
679fb708-d2f0-44fb-a2a9-1ee0c930f029,2019-08-15T23:00:00+00:00,Group 2019 WHITEHORSE 2 Barbados into expt 2020/R/RAW/2027,,,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
651707cd-553b-4521-986c-35e1c9ba27da,2019-09-27T10:43:50+00:00,2019 WHITEHORSE 2 Barbados located in 2020/R/RAW/2027,,2020/R/RAW/2027,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
633c2773-3449-4814-bc40-96c956d8976d,2019-08-18T23:00:00+00:00,Group 2019 WHITEHORSE 2 Barbados (2) into expt 2020/R/RAW/2025 ,,,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
385260be-65d7-4cd1-8497-ce4aec810231,2019-09-27T10:57:15+00:00,expt 2020/R/RAW/2025  located in 2020/R/RAW/2025,,2020/R/RAW/2025,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
0a2bb8f3-b180-4bc9-9cf1-a2eed856c942,2019-09-27T10:57:58+00:00,expt 2020/R/RAW/2027 located in 2020/R/RAW/2027,,2020/R/RAW/2027,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
7ced9ae4-ecb5-4938-8a91-fcd7a6f72d4a,2019-10-04T16:23:02+00:00,expt 2020/R/CS/790 located in LITTLE HOOS,LITTLE HOOS,,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
a92408ad-8314-465b-84b8-b4bcfdd846cc,2020-02-12T00:00:00+00:00,WW/ OSR Soil Cores (Soil Mineral N),RRES LSRE Site 2020,,Aislinn Pearson,Field Trial,2022-04-13T08:03:49+00:00,,,,,,,,,,
7e2c4172-11c2-41f5-9717-60f55d95921a,2019-11-01T00:00:00+00:00,Failed OSR Plot,RRES LSRE Site 2020,,Aislinn Pearson,Field Trial,2022-04-13T08:03:49+00:00,,,,,,,,,,
fc94e162-0a23-40b5-98fa-ae62a87a6dde,2020-02-12T00:00:00+00:00,Failed OSR plot,RRES LSRE Site 2020,,"Ian Shield, Aislinn Pearson",Field Trial,2022-04-13T08:03:49+00:00,,,,,,,,,,
45891e97-159f-45f4-88cf-1c9649df0139,2020-02-12T00:00:00+00:00,Failed OSR Plot,RRES LSRE Site 2020,,"Ian Shield, Aislinn Pearson",Field Trial,2022-04-13T08:03:49+00:00,,,,,,,,,,
f1219560-d3ef-4c29-a81f-773263e6478f,2020-02-12T16:16:25+00:00,Group LSRE Field Beans into expt 2020/R/CS/790,,,Aislinn Pearson,Observation,2022-04-13T08:03:49+00:00,,,,,,,,,,
5dc1de99-fb18-4ebd-af7e-d48388a4b531,2020-02-12T16:16:25+00:00,LSRE Field Beans located in RRES LSRE Site,RRES LSRE Site 2020,,Aislinn Pearson,Observation,2022-04-13T08:03:49+00:00,,,,,,,,,,
9ebcc3f3-82e7-4c31-ae48-a1cbcf9fb21d,2020-02-12T16:17:55+00:00,Group LSRE Spring Barley into expt 2020/R/CS/790,,,Aislinn Pearson,Observation,2022-04-13T08:03:49+00:00,,,,,,,,,,
5bb77ad7-0136-49cd-ac84-f9573a54e254,2020-02-12T16:17:55+00:00,LSRE Spring Barley located in RRES LSRE Site,RRES LSRE Site 2020,,Aislinn Pearson,Observation,2022-04-13T08:03:49+00:00,,,,,,,,,,
3fd206b9-a473-400a-b884-e2b65be7001b,2020-02-12T00:00:00+00:00,Inversion WW still too wet to drill,RRES LSRE Site 2020,,"Chris Mackay, Ian Shield, Aislinn Pearson",Observation,2022-04-13T08:03:49+00:00,,,,,,,,,,
0b99b992-cced-4d66-873e-8009cb1e1278,2020-04-19T13:00:00+00:00,LSRE Crop walking,,,Aislinn Pearson,Observation,2022-04-13T08:03:49+00:00,,,,,,,,,,
727921d8-0934-4058-91be-31cb59634eb7,2020-05-08T09:33:57+00:00,expt 2020/R/WW/2006 located in 2020/R/WW/2006,,2020/R/WW/2006,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
07c82f36-74e4-404e-a655-f1d3e1a8cedd,2020-05-08T11:17:48+00:00,expt 2020/R/WW/2011 located in 2020/R/WW/2011,,2020/R/WW/2011,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
abacc30d-72b6-4d26-a414-916064501eea,2020-05-08T11:43:30+00:00,expt 2020/R/WW/2026 located in 2020/R/WW/2026,,2020/R/WW/2026,Richard Ostler,Observation,2022-06-07T16:21:50+00:00,,,,,,,,,,
